당신은 에어팟 수리 가능성을 계산하는 AI 입니다.
아래의 데이터를 참고해서 고객의 에어팟이 수리를 성공할 확률을 계산하십시오.

데이터:
Category,Scratch Position,Heating Time,Damage Type,Battery Efficiency (%),Success Probability (%)
A,중단,10~20초,칩 파손,41,0
D,상단,10~20초,정상,71,75.41
A,상단,10~20초,정상,73,81.28
C,하단,5~10초,칩 파손,16,0
D,하단,20~30초,정상,23,71.61
B,상단,10~20초,칩 파손,94,0
C,중단,10~20초,칩 파손,63,0
B,중단,10~20초,정상,11,81.41
B,상단,20~30초,칩 파손,79,0
D,하단,5~10초,스피커 파손,62,58.46
B,하단,10~20초,스피커 파손,57,60.43
D,중단,5~10초,하단 단자 손상,35,31.5
A,하단,10~20초,정상,72,83.99
D,중단,10~20초,정상,89,81.28
C,상단,20~30초,스피커 파손,67,55.44
B,하단,5~10초,하단 단자 손상,12,31.88
D,중단,10~20초,스피커 파손,20,57.85
D,중단,10~20초,하단 단자 손상,1,30.85
B,상단,5~10초,하단 단자 손상,84,32.51
A,중단,5~10초,하단 단자 손상,39,33.95
C,하단,20~30초,정상,46,76.39
C,상단,5~10초,하단 단자 손상,26,30.2
A,상단,20~30초,스피커 파손,42,57.83
B,하단,5~10초,정상,59,82.27
D,하단,5~10초,정상,14,75.51
A,하단,20~30초,하단 단자 손상,2,30.87
C,중단,10~20초,스피커 파손,33,59.78
D,하단,20~30초,스피커 파손,42,55.44
A,상단,5~10초,스피커 파손,2,59.06
A,중단,5~10초,정상,75,89.44
C,하단,5~10초,정상,26,78.02
B,중단,10~20초,스피커 파손,85,64.34
D,상단,5~10초,하단 단자 손상,34,29.23
B,중단,5~10초,정상,93,87.6
A,하단,20~30초,칩 파손,57,0
C,중단,5~10초,하단 단자 손상,63,33.6
B,중단,10~20초,칩 파손,3,0
B,상단,10~20초,칩 파손,52,0
D,상단,5~10초,스피커 파손,46,56.57
C,하단,20~30초,스피커 파손,90,58.48
B,중단,5~10초,스피커 파손,65,64.36
C,상단,10~20초,칩 파손,78,0
B,상단,20~30초,스피커 파손,7,54.87
B,하단,10~20초,하단 단자 손상,11,31.22
B,중단,10~20초,정상,100,85.79
B,상단,10~20초,정상,71,79.6
A,중단,5~10초,정상,9,84.88
C,중단,10~20초,스피커 파손,54,61.7
D,상단,5~10초,정상,82,77
A,중단,5~10초,하단 단자 손상,61,35.05
D,상단,20~30초,정상,70,73.03
C,상단,20~30초,스피커 파손,1,53.71
C,상단,5~10초,정상,17,75.51
D,중단,20~30초,스피커 파손,42,57.83
C,하단,10~20초,정상,21,76.41
C,상단,20~30초,정상,49,73.92
C,중단,10~20초,하단 단자 손상,76,33.59
B,하단,20~30초,칩 파손,45,0
D,중단,5~10초,정상,71,82.99
B,상단,5~10초,스피커 파손,19,57.85
A,하단,20~30초,스피커 파손,85,61
C,하단,5~10초,하단 단자 손상,20,31.21
B,상단,20~30초,하단 단자 손상,39,29.26
C,중단,10~20초,스피커 파손,2,59.78
D,상단,10~20초,스피커 파손,86,56.56
A,하단,5~10초,하단 단자 손상,68,33.6
D,상단,5~10초,정상,60,75.43
A,상단,5~10초,정상,6,78.75
C,중단,20~30초,칩 파손,11,0
C,상단,5~10초,정상,74,79.57
D,상단,10~20초,정상,93,75.41
B,중단,5~10초,하단 단자 손상,55,34.32
A,상단,10~20초,하단 단자 손상,57,31.85
A,상단,20~30초,하단 단자 손상,95,31.48
A,중단,10~20초,칩 파손,37,0
C,하단,20~30초,정상,91,77.98
A,중단,10~20초,칩 파손,10,0
B,상단,20~30초,칩 파손,29,0
D,하단,5~10초,하단 단자 손상,91,31.83
D,중단,5~10초,정상,95,82.99
D,상단,10~20초,정상,72,75.41
B,상단,10~20초,스피커 파손,22,56.65
C,하단,10~20초,칩 파손,30,0
C,상단,20~30초,스피커 파손,26,53.71
B,상단,5~10초,스피커 파손,44,59.71
D,중단,5~10초,칩 파손,71,0
A,중단,5~10초,하단 단자 손상,84,35.78
A,중단,10~20초,하단 단자 손상,75,35.04
B,중단,5~10초,하단 단자 손상,97,35.04
A,중단,5~10초,하단 단자 손상,89,35.78
A,하단,10~20초,하단 단자 손상,20,31.88
D,상단,10~20초,정상,60,73.87
D,하단,20~30초,칩 파손,20,0
D,상단,5~10초,스피커 파손,56,56.57
B,상단,5~10초,정상,1,77.13
A,중단,20~30초,스피커 파손,3,60.38
D,중단,5~10초,정상,18,78.75
C,하단,10~20초,칩 파손,30,0
B,하단,10~20초,정상,59,80.58
B,하단,20~30초,정상,37,75.59
C,중단,5~10초,칩 파손,14,0
A,중단,5~10초,칩 파손,43,0
B,중단,20~30초,정상,92,83.08
B,상단,5~10초,스피커 파손,96,60.96
A,상단,20~30초,칩 파손,30,0
A,하단,5~10초,스피커 파손,94,64.32
C,상단,20~30초,정상,19,71.61
C,상단,10~20초,하단 단자 손상,21,29.58
C,중단,20~30초,스피커 파손,42,59.76
D,하단,20~30초,정상,73,75.46
C,하단,10~20초,하단 단자 손상,13,30.57
D,상단,10~20초,정상,81,75.41
D,하단,5~10초,하단 단자 손상,72,31.83
D,상단,20~30초,정상,80,73.03
B,상단,20~30초,스피커 파손,52,56.64
D,중단,20~30초,정상,68,77.1
B,하단,5~10초,하단 단자 손상,31,31.88
B,중단,20~30초,하단 단자 손상,32,31.54
D,중단,5~10초,정상,37,78.75
D,중단,5~10초,스피커 파손,38,59.06
C,중단,20~30초,칩 파손,35,0
B,하단,20~30초,하단 단자 손상,78,31.86
A,상단,10~20초,스피커 파손,88,60.96
C,중단,10~20초,칩 파손,36,0
D,중단,5~10초,칩 파손,16,0
B,중단,20~30초,칩 파손,41,0
D,중단,10~20초,칩 파손,85,0
C,상단,20~30초,하단 단자 손상,81,30.19
C,상단,10~20초,하단 단자 손상,50,30.53
C,상단,20~30초,정상,37,71.61
C,하단,10~20초,하단 단자 손상,55,31.55
C,중단,5~10초,하단 단자 손상,16,32.55
D,하단,20~30초,정상,44,73.92
D,중단,5~10초,하단 단자 손상,97,33.19
B,하단,20~30초,하단 단자 손상,68,31.21
A,중단,10~20초,칩 파손,30,0
B,중단,20~30초,칩 파손,78,0
B,상단,5~10초,스피커 파손,74,60.96
A,하단,10~20초,칩 파손,36,0
C,하단,5~10초,하단 단자 손상,26,31.21
C,중단,5~10초,칩 파손,42,0
B,상단,5~10초,정상,61,79.62
D,상단,10~20초,하단 단자 손상,39,28.63
A,상단,5~10초,스피커 파손,19,59.06
D,중단,20~30초,하단 단자 손상,36,29.88
C,하단,5~10초,하단 단자 손상,43,32.22
C,상단,20~30초,정상,24,71.61
B,중단,5~10초,정상,19,83.13
B,상단,5~10초,스피커 파손,24,57.85
B,하단,10~20초,정상,91,82.25
C,상단,10~20초,스피커 파손,4,55.46
D,하단,20~30초,칩 파손,50,0
C,상단,5~10초,스피커 파손,4,56.63
A,하단,5~10초,정상,36,81.38
A,하단,20~30초,스피커 파손,58,59.76
B,상단,10~20초,스피커 파손,78,59.7
C,상단,20~30초,정상,81,75.46
D,하단,10~20초,칩 파손,23,0
A,상단,5~10초,스피커 파손,63,60.97
C,하단,10~20초,칩 파손,82,0
A,하단,5~10초,스피커 파손,31,61.03
B,하단,10~20초,칩 파손,19,0
A,상단,5~10초,스피커 파손,9,59.06
B,상단,20~30초,하단 단자 손상,98,30.83
B,중단,5~10초,하단 단자 손상,1,33.25
C,중단,10~20초,정상,8,79.7
D,중단,5~10초,스피커 파손,65,60.97
B,중단,10~20초,스피커 파손,97,64.34
B,상단,5~10초,칩 파손,26,0
D,하단,10~20초,스피커 파손,78,58.44
D,중단,5~10초,정상,64,81.29
D,중단,10~20초,칩 파손,4,0
B,중단,20~30초,스피커 파손,36,59.13
B,하단,20~30초,스피커 파손,33,56.69
C,하단,20~30초,하단 단자 손상,40,30.56
B,하단,10~20초,정상,3,78.06
B,하단,10~20초,하단 단자 손상,28,31.22
B,하단,20~30초,하단 단자 손상,69,31.21
A,상단,5~10초,정상,44,81.29
A,중단,10~20초,하단 단자 손상,73,35.04
B,중단,5~10초,하단 단자 손상,8,33.25
B,중단,10~20초,하단 단자 손상,70,34.32
A,하단,20~30초,칩 파손,30,0
C,상단,20~30초,스피커 파손,50,55.44
D,하단,5~10초,정상,19,75.51
D,하단,5~10초,스피커 파손,50,58.46
B,상단,10~20초,스피커 파손,95,59.7
B,상단,10~20초,스피커 파손,10,56.65
A,하단,5~10초,정상,54,84
C,하단,20~30초,스피커 파손,82,58.48
B,하단,5~10초,하단 단자 손상,72,33.59
A,중단,10~20초,하단 단자 손상,34,33.25
B,하단,5~10초,스피커 파손,84,62.99
D,상단,10~20초,하단 단자 손상,14,28.63
D,하단,20~30초,칩 파손,85,0
B,하단,20~30초,정상,89,79.66
C,하단,20~30초,스피커 파손,8,55.5
A,하단,20~30초,스피커 파손,39,57.89
A,중단,20~30초,하단 단자 손상,55,33.24
A,상단,10~20초,스피커 파손,83,60.96
C,상단,20~30초,스피커 파손,24,53.71
D,하단,10~20초,하단 단자 손상,57,30.53
C,중단,20~30초,하단 단자 손상,56,31.87
C,하단,10~20초,칩 파손,24,0
B,상단,10~20초,칩 파손,19,0
B,상단,10~20초,칩 파손,53,0
B,상단,5~10초,칩 파손,38,0
B,하단,20~30초,하단 단자 손상,66,31.21
D,중단,5~10초,칩 파손,95,0
